"青沥备开喊(矫焙备)","啊备林狼 楷飞",2023,2023,2023,2023,2023,2023,2023,2023,2023
"悼备","20~24技",256,146,60,30,17,X,X,X,1.7
"悼备","25~29技",811,430,234,97,36,13,X,X,1.7
"悼备","30~34技",1353,577,416,229,109,19,X,X,2
"悼备","35~39技",1443,422,364,355,247,47,5,X,2.4
"悼备","40~44技",2191,512,466,526,515,142,26,X,2.7
"悼备","45~49技",2366,527,487,589,580,150,30,X,2.8
"悼备","50~54技",2795,656,694,734,564,123,17,7,2.6
"悼备","55~59技",2703,714,802,665,431,81,10,X,2.4
"悼备","60~64技",3093,964,1100,671,296,49,11,X,2.2
"悼备","65~69技",2833,1017,1219,465,102,24,5,X,1.9
"悼备","70~74技",2096,779,943,278,72,13,8,X,1.9
"悼备","75~79技",1878,718,825,251,59,20,X,X,1.9
"悼备","80~84技",1385,637,532,162,44,6,X,X,1.7
"悼备","85技 捞惑",778,453,232,62,26,5,X,X,1.6
"楷荐备","钦拌",148578,38734,38912,36428,28079,5421,823,181,2.5
"楷荐备","15技固父",X,X,X,X,X,X,X,X,1
"楷荐备","15~19技",229,211,13,5,X,X,X,X,1.1
"楷荐备","20~24技",2547,2176,253,84,27,6,X,X,1.2
"楷荐备","25~29技",6595,4772,1219,413,152,30,8,X,1.4
"楷荐备","30~34技",10538,4883,2747,1953,791,140,21,X,1.9
"楷荐备","35~39技",13185,3106,2394,4019,3076,501,74,15,2.7
"楷荐备","40~44技",18319,3041,2350,5066,6303,1335,180,44,3.1
"楷荐备","45~49技",17737,2775,2596,4711,6149,1298,180,28,3.1
"楷荐备","50~54技",19396,3211,4249,5973,4916,906,115,26,2.8
"楷荐备","55~59技",16964,2983,4813,5241,3299,538,79,11,2.6
"楷荐备","60~64技",17025,3310,6419,4753,2134,330,60,19,2.4
"楷荐备","65~69技",11217,2810,5238,2234,725,154,45,11,2.1
"楷荐备","70~74技",5979,1755,2951,933,234,78,18,10,2
"楷荐备","75~79技",4149,1474,1896,557,152,45,18,7,1.9
"楷荐备","80~84技",2873,1253,1168,309,79,47,13,X,1.8
"楷荐备","85技 捞惑",1824,973,606,177,42,13,12,X,1.7
"巢悼备","钦拌",209484,69808,60231,42018,29743,6337,1079,268,2.3
"巢悼备","15技固父",X,X,X,X,X,X,X,X,1.5
"巢悼备","15~19技",140,118,13,8,X,X,X,X,1.2
"巢悼备","20~24技",3125,2411,510,133,55,12,X,X,1.3
"巢悼备","25~29技",10298,7101,2134,761,252,41,7,X,1.4
"巢悼备","30~34技",13442,6885,3379,2071,928,143,27,9,1.8
"巢悼备","35~39技",13984,4598,2996,3185,2557,544,87,17,2.4
"巢悼备","40~44技",21091,5155,3625,4857,5706,1453,243,52,2.8
"巢悼备","45~49技",21947,5056,3982,5080,6070,1477,234,48,2.8
"巢悼备","50~54技",25305,5831,5947,6730,5451,1153,155,38,2.6
"巢悼备","55~59技",24585,6164,7138,6391,4129,643,97,23,2.4
"巢悼备","60~64技",25798,7299,9448,5864,2700,399,66,22,2.2
"巢悼备","65~69技",19289,6598,8140,3303,983,195,53,17,2
"巢悼备","70~74技",12069,4340,5484,1661,412,104,52,16,1.9
"巢悼备","75~79技",8900,3493,3991,1054,242,80,29,11,1.8
"巢悼备","80~84技",5991,2828,2267,640,177,60,11,8,1.7
"巢悼备","85技 捞惑",3518,1930,1176,280,81,32,15,X,1.6
"何乞备","钦拌",205580,64840,61554,43519,28704,5780,986,197,2.3
"何乞备","15技固父",X,X,X,X,X,X,X,X,0
"何乞备","15~19技",166,145,16,X,X,X,X,X,1.2
"何乞备","20~24技",2429,1747,469,141,62,8,X,X,1.4
"何乞备","25~29技",9725,6119,2452,767,324,54,8,X,1.5
"何乞备","30~34技",15584,7084,4817,2477,1017,164,23,X,1.9
"何乞备","35~39技",15046,4705,3668,3734,2444,410,74,11,2.4
"何乞备","40~44技",18886,4701,3584,4606,4651,1147,167,30,2.7
"何乞备","45~49技",18708,4165,3626,4490,5019,1180,185,43,2.8
"何乞备","50~54技",23858,5298,5670,6456,5166,1070,172,26,2.7
"何乞备","55~59技",24741,5587,6872,6709,4714,751,86,22,2.5
"何乞备","60~64技",26073,6852,9106,6464,3117,447,71,16,2.3
"何乞备","65~69技",19239,6128,8062,3611,1127,231,67,13,2
"何乞备","70~74技",12007,4077,5475,1810,466,127,40,12,1.9
"何乞备","75~79技",8903,3337,3952,1153,304,94,52,11,1.9
"何乞备","80~84技",6306,2762,2497,768,184,60,26,9,1.8
"何乞备","85技 捞惑",3909,2133,1288,331,108,35,13,X,1.6
"拌剧备","钦拌",116641,35229,35275,25334,16770,3364,547,122,2.3
"拌剧备","15技固父",X,X,X,X,X,X,X,X,0
"拌剧备","15~19技",184,170,11,X,X,X,X,X,1.1
"拌剧备","20~24技",1293,939,221,92,38,X,X,X,1.4
"拌剧备","25~29技",4230,2474,1101,447,178,27,X,X,1.6
"拌剧备","30~34技",6940,3093,1946,1251,511,116,17,6,1.9
"拌剧备","35~39技",7292,2309,1651,1773,1266,245,42,6,2.4
"拌剧备","40~44技",9955,2427,1906,2340,2500,662,100,20,2.7
"拌剧备","45~49技",11074,2502,2212,2652,2838,731,119,20,2.8
"拌剧备","50~54技",14880,3463,3591,3869,3268,589,81,19,2.6
"拌剧备","55~59技",16395,3646,4792,4360,3048,475,62,12,2.5
"拌剧备","60~64技",17541,4377,6463,4445,1946,269,32,9,2.3
"拌剧备","65~69技",11288,3487,4801,2197,661,104,29,9,2
"拌剧备","70~74技",6102,2031,2856,902,230,50,26,7,1.9
"拌剧备","75~79技",4332,1715,1872,524,146,50,16,9,1.9
"拌剧备","80~84技",3168,1478,1222,328,87,33,15,5,1.8
"拌剧备","85技 捞惑",1967,1118,630,151,53,10,5,X,1.6
"辑备","钦拌",245055,68510,67860,56004,42022,8966,1389,304,2.4
"辑备","15技固父",X,X,X,X,X,X,X,X,1
"辑备","15~19技",139,109,23,5,X,X,X,X,1.3
"辑备","20~24技",2642,1868,509,172,78,11,X,X,1.4
"辑备","25~29技",11854,7507,2771,1086,408,72,10,X,1.5
"辑备","30~34技",20888,8885,5805,4009,1842,294,45,8,2
"辑备","35~39技",24254,6312,4933,6659,5149,984,185,32,2.6
"辑备","40~44技",31181,5941,4905,8051,9526,2349,338,71,3
"辑备","45~49技",27740,5317,5001,6841,8173,2074,269,65,2.9
"辑备","50~54技",30347,6096,7250,8363,6999,1388,208,43,2.7
"辑备","55~59技",28082,5993,7976,7879,5197,898,111,28,2.6
"辑备","60~64技",26500,6446,10078,6509,2915,454,74,24,2.3
"辑备","65~69技",17661,5195,7891,3366,941,196,58,14,2.1
"辑备","70~74技",10126,3249,4918,1454,374,96,30,5,1.9
"辑备","75~79技",6834,2457,3161,882,223,70,31,10,1.9
"辑备","80~84技",4293,1832,1770,485,130,56,18,X,1.8
"辑备","85技 捞惑",2513,1302,869,243,65,24,8,X,1.7
"固眠圈备","钦拌",180687,66456,53447,33470,21301,4860,939,214,2.2
"固眠圈备","15技固父",X,X,X,X,X,X,X,X,1
"固眠圈备","15~19技",619,593,23,X,X,X,X,X,1.1
"固眠圈备","20~24技",6643,5719,634,194,78,17,X,X,1.2
"固眠圈备","25~29技",10403,7074,2142,803,304,69,9,X,1.5
"固眠圈备","30~34技",13002,6430,3432,1991,940,172,31,6,1.9
"固眠圈备","35~39技",12777,4406,2953,2884,1974,449,84,27,2.3
"固眠圈备","40~44技",16954,4670,3364,3800,3933,946,197,44,2.6
"固眠圈备","45~49技",16265,4161,3531,3627,3729,991,189,37,2.7
"固眠圈备","50~54技",19739,5124,5136,4686,3773,859,132,29,2.5
"固眠圈备","55~59技",18531,4915,5487,4599,2855,577,83,15,2.4
"固眠圈备","60~64技",20073,6166,7308,4335,1859,332,60,13,2.2
"固眠圈备","65~69技",16180,5618,6741,2777,838,147,47,12,2
"固眠圈备","70~74技",10871,3930,4852,1522,422,103,30,12,1.9
"固眠圈备","75~79技",8788,3240,3954,1160,294,91,41,8,1.9
"固眠圈备","80~84技",6168,2531,2603,741,199,61,27,6,1.8
"固眠圈备","85技 捞惑",3673,1878,1287,349,103,45,8,X,1.7
"碍拳焙","钦拌",29379,9254,12114,4572,2303,797,255,84,2.1
"碍拳焙","15技固父",X,X,X,X,X,X,X,X,3
"碍拳焙","15~19技",11,9,X,X,X,X,X,X,1.2
"碍拳焙","20~24技",150,115,22,7,X,X,X,X,1.4
"碍拳焙","25~29技",490,291,106,60,26,6,X,X,1.7
"碍拳焙","30~34技",735,316,194,136,64,21,X,X,2
"碍拳焙","35~39技",859,252,169,189,148,74,19,8,2.7
"碍拳焙","40~44技",1370,345,240,301,314,124,34,12,2.8
"碍拳焙","45~49技",1667,333,386,340,404,157,37,10,2.9
"碍拳焙","50~54技",2437,606,804,527,354,112,29,5,2.5
"碍拳焙","55~59技",3071,868,1224,592,281,74,24,8,2.2
"碍拳焙","60~64技",4510,1290,2097,767,248,68,31,9,2.1
"碍拳焙","65~69技",4092,1200,2088,577,156,47,13,11,2
"碍拳焙","70~74技",3105,948,1682,335,80,35,20,5,1.9
"碍拳焙","75~79技",2775,953,1398,298,75,25,20,6,1.9
"碍拳焙","80~84技",2328,897,1064,250,79,24,10,X,1.8
"碍拳焙","85技 捞惑",1778,831,638,192,71,28,13,5,1.8
"克柳焙","钦拌",9877,4716,3182,1226,540,161,37,15,1.8
"克柳焙","15技固父",X,X,X,X,X,X,X,X,0
"克柳焙","15~19技",28,21,X,X,X,X,X,X,1.4
"克柳焙","20~24技",372,306,51,11,X,X,X,X,1.2
"克柳焙","25~29技",514,376,87,31,15,5,X,X,1.4
"克柳焙","30~34技",488,294,91,49,42,9,X,X,1.8
"克柳焙","35~39技",384,210,52,63,45,11,X,X,2
"克柳焙","40~44技",543,236,95,82,99,23,7,X,2.3
"克柳焙","45~49技",624,314,120,80,70,29,10,X,2.1
"克柳焙","50~54技",782,334,216,128,71,27,X,X,2.1
"克柳焙","55~59技",1039,466,333,172,56,9,X,X,1.9
"克柳焙","60~64技",1465,602,596,197,54,13,X,X,1.8
"克柳焙","65~69技",1202,553,461,138,35,10,X,X,1.8
"克柳焙","70~74技",858,349,382,103,14,7,X,X,1.8
"克柳焙","75~79技",678,269,327,58,17,5,X,X,1.8
"克柳焙","80~84技",472,188,202,63,11,5,X,X,1.8
"克柳焙","85技 捞惑",428,198,166,47,8,7,X,X,1.8
